DATE,Time,Location,Operator,Route,AC Type,Aboard,Fatalities,Summary,url
28-Sep-02,1135,"Near Natashquan, Quebec, Canada",Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,4   (passengers:3  crew:1),3   (passengers:3  crew:0),"The hunting charter crashed inverted in a forest while attempting to land at Agunish River. Because of the geographic and weather conditions, the pilot probably had trouble judging his horizontal and vertical distance with respect to the mountain, and the aircraft crashed.",https://www.planecrashinfo.com/2002/2002-43.htm
1-Oct-02,?,"Vasco, India",Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12   (passengers:0  crew:12),12   (passengers:0  crew:12),"The two Navy aircraft flying in formation in a military flyby, crashed, after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground.",https://www.planecrashinfo.com/2002/2002-44.htm
6-Nov-02,1010,"Near Niederanven, Luxembourg",Luxair,"Berlin, Germany - Luxembourg",Fokker 50,22   (passengers:19  crew:3),20   (passengers:18  crew:2),"The plane crashed 6 miles short of the runway at Findel Airport while attempting to land in heavy fog.  Crew error caused by aborting a ""go-around"" after being informed by tower of an increase in visibility. A series of non-standard actions resulted in severe loss of airspeed, due to the propeller blades being accidentally switched into reverse position, and subsequent impact short of the runway. Contributing to the accident were errors concerning the implementation of a security recommendation which had been made by the manufacturer to Fokker 50 operators. Also this warning was not adequately communicated to the flight crews of Luxair.",https://www.planecrashinfo.com/2002/2002-45.htm
7-Nov-02,1027,"Tarakan, Indonesia",Dirgantara Air Services,Tarakan - Long Bawan,Britten-Norman BN-2A-21,10   (passengers:9  crew:1),7   (passengers:6  crew:1),"Two minutes after taking off, the aircraft went down in a swamp, about 1 mile from Juwata airport. The pilot radioed he was returning to the airport because of an engine failure.",https://www.planecrashinfo.com/2002/2002-46.htm
8-Nov-02,1458,"Taos, New Mexico",Richmor Aviation,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"While on a positioning flight the plane entered an uncontrolled descent and crashed. The pilot's inadvertent flight into mountain wave weather conditions while IMC, resulting in a loss of aircraft control.",https://www.planecrashinfo.com/2002/2002-47.htm
11-Nov-02,609,"Manila, Philippines",Laoag International Airlines,Manila - Laoag,Fokker F27 Friendship 100,34   (passengers:29  crew:5),19   (passengers:18  crew:1),The plane experienced failure of the left engine shortly after taking off from Ninoy Aquino airport. The pilot declared and emergency and the aircraft ditched into Manila Bay and breaking up about one-half mile offshore. Fuel starvation. Failure of the pilot and co-pilot to check the fuel valve and failure to observe safety standards and measures.  Poor management and maintenance procedures.,https://www.planecrashinfo.com/2002/2002-48.htm
28-Nov-02,1415,"Masai Mara Game Reserve, Kenya",Eagle Aviation,Ol Kiombo - Mombasa,Let 410UVP-E20,20   (passengers:18  crew:2),1   (passengers:0  crew:1),The plane crashed after developing engine trouble while flying from one airstrip to another in the Masai Mara National Reserve. The copilot was the only fatality.,https://www.planecrashinfo.com/2002/2002-49.htm
13-Dec-02,?,"Gohu Airstrip, Papua New Guinea",Island Airways Ltd.,Gohu - Madang,Britten-Norman BN-2A-26 Islander,8   (passengers:7  crew:1),8   (passengers:7  crew:1),The aircraft flew into the side of a cliff during it's inaugural flight from Gohu Airstrip in the Finisterre Mountains.,https://www.planecrashinfo.com/2002/2002-50.htm
17-Dec-02,2251,"Rockford, Illinois",Planemasters,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,1   (passengers:0  crew:1),1   (passengers:0  crew:1),"While attempting to land, the cargo plane struck trees and crashed into a field. The pilot's failure to maintain control of the airplane during the ILS approach. Factors associated with the accident were the low ceilings, high winds, crosswind, and wind shear conditions that existed.",https://www.planecrashinfo.com/2002/2002-51.htm
21-Dec-02,152,"Off Pachao Tao, Taiwan",Transasia Airways,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,2   (passengers:0  crew:2),2   (passengers:0  crew:2),While en route the stall warning sounded and the stick shaker activated. The crew of the cargo plane disconnected the autopilot and tried to gain control of the plane. The plane began to descend from FL170 until it impacted the ocean.,https://www.planecrashinfo.com/2002/2002-52.htm
23-Dec-02,1930,"Near Isfanan, Iran",Aeromist-Kharkiv,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,44   (passengers:38  crew:6),44   (passengers:38  crew:6),"While descending to land at Isfanan, the Ukrainian passenger plane crashed in a mountainous area  70 km from Isfanan after losing contact with ground controllers. Improper use of the Global Positioning System by the pilot. The passengers were aerospace scientists and executives.",https://www.planecrashinfo.com/2002/2002-53.htm
26-Dec-02,1120,"Curitiba, Brazil",Military - Brazilian Air Force,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,16   (passengers:13  crew:3),3   (passengers:2  crew:1),The plane diverted from it's original route to make an emergency landing at Curitiba after experiencing engine trouble and crashed 3.5km short of the runway.,https://www.planecrashinfo.com/2002/2002-54.htm
27-Dec-02,1500,"Anjouan, Comoros Islands",Ocean Airlines,Moroni Hahaya - Anjouan,Let 410UVP,16   (passengers:14  crew:2),1   (passengers:1  crew:0),"The aircraft was in a holding pattern due to bad weather at Anjouan. After weather condtions improved, clearance was given for a final approach. The plane was struck by lightning. A go-around was attempted, but the airplane lost its artificial horizons and gyro compasses as a result of the lightning strike. Control was lost and the plane crashed.",https://www.planecrashinfo.com/2002/2002-55.htm
8-Jan-03,853,"Charlotte, North Carolina",US Air Express/Air Midwest,"Charlotte, NC - Greer, SC",Beech BE-1900D,21   (passengers:19  crew:2),21   (passengers:19  crew:2),"The commuter plane was not able to maintain altitude after taking off from Charlotte-Douglas International Airport and crashed into the side of a hanger and burst into flames. The weather was clear, cold and windy, with greater than 10 miles visibility at the time of the accident. The airplane's loss of pitch control during takeoff was the result of incorrect rigging of the elevator control system compounded by the airplane's center of gravity, which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air Midwest's lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station, (2) Air Midwest's maintenance procedures and documentation, (3) Air Midwest's weight and balance program at the time of the accident, (4) the Raytheon Aerospace quality assurance inspector's failure to detect the incorrect rigging of the elevator system, (5) the FAA's average weight assumptions in its weight and balance program guidance at the time of the accident and (6) the FAA's lack of oversight of Air Midwest's maintenance program and its weight and balance program.",https://www.planecrashinfo.com/2003/2003-1.htm
8-Jan-03,2028,"Diyarbakir, Turkey",Turkish Airlines (THY),Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,80   (passengers:75  crew:5),75   (passengers:71  crew:4),"The aircraft crashed and broke-up 130 feet short of the runway threshold while attempting to land in heavy fog.  Visibility was less than 200 feet. The pilots insisted on landing at the MDA of 2,800 ft despite insufficient visual reference to the runway and its environment. Bad weather conditions also contributed to the cause of the accident.",https://www.planecrashinfo.com/2003/2003-2.htm
9-Jan-03,843,"Near Chachapoyas, Peru",TANS Airlines,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,46   (passengers:42  crew:4),46   (passengers:42  crew:4),"The aircraft crashed into 11,500 ft. Coloque mountain at an altitude of 7,550 ft., about 30 minutes after leaving Chiclayo and three minutes from landing at Chachapoyas. Controlled flight into terrain. Crew did not follow standard procedures. Lack of communication between the crew.",https://www.planecrashinfo.com/2003/2003-3.htm
17-Jan-03,?,"Near Ndjolé, Gabon",Aerocom,Brazzaville - Douala,Antonov 24B,7   (passengers:5  crew:2),7   (passengers:5  crew:2),"On a positioning flight the plane, over Gabon, had problems with its navigation equipment, circled the airport 4 times before crashing into a wooded hillside.",https://www.planecrashinfo.com/2003/2003-4.htm
24-Jan-03,1645,"Busia, Kenya",African Commuter Services,Busia - Nairobi,Grumman G-159 Gulfstream I,13   (passengers:11  crew:2),3   (passengers:1  crew:2),"The plane failed to gain altitude during takeoff, hit power lines and crashed inverted into a house. Kenyan Labor Minister, Ahmed Khalif and the two pilots were killed. The plane was grossly overloaded. The plane which weighed 16 tons, was taking off from an airstrip designed for aircraft weighing less than 5.7 tons.",https://www.planecrashinfo.com/2003/2003-5.htm
31-Jan-03,1521,"Baucau, East Timor",Euro Asia Aviation,Macau - Baucau,Ilyushin II-76TD,6   (passengers:2  crew:4),6   (passengers:2  crew:4),The cargo plane struck ground 2 km short of the runway in heavy fog. The flight crew did not comply with the published non-precision instrument approach. The flight crew conducted user-defined non-precision instrument approaches to Runway 14 at Baucau during flight in instrument meteorological conditions. The pilot in command permitted the aircraft to descend below the MDA.,https://www.planecrashinfo.com/2003/2003-6.htm
7-Feb-03,?,"Near Agadir, Morocco",Volare Aviation Enterprise,Agadir - Algiers,Antonov 12BP,8   (passengers:0  crew:8),8   (passengers:0  crew:8),"Crashed in the Atlas mountain range at 9,900 feet while en route.",https://www.planecrashinfo.com/2003/2003-7.htm
10-Feb-03,1942,"Tallinn, Estonia",Enimex,Tallinn - Helsinki,Antonov AN-28,3   (passengers:0  crew:3),2   (passengers:0  crew:2),"Shortly after takeoff, the aircraft stalled, crashed and burst into flames in a wooded area. Engine failure.",https://www.planecrashinfo.com/2003/2003-8.htm
16-Feb-03,2002,"Ferguson, Kentucky",Air Taxi - Great Northern Aircraft Co.,"Griffith-Merrill, IN - Somerset, KY",Cessna 421,7   (passengers:6  crew:1),3   (passengers:2  crew:1),"The aircraft was destroyed during a collision with trees and terrain in Ferguson, Kentucky, while on an instrument approach to Somerset-Pulaski County Airport. The pilot's failure to follow the instrument approach procedure, which resulted in an early descent into trees and terrain. Factors included the low ceiling and the night lighting conditions.",https://www.planecrashinfo.com/2003/2003-9.htm
19-Feb-03,1730,"Near Shahdad, Iran",Military - Islamic Revolution's Guards Corps,Zahedan - Kerman,Ilyushin Il-76MD,275   (passengers:257  crew:18),275   (passengers:257  crew:18),"The plane crashed into an 11,500 ft.  mountain in poor weather, about 20 miles from its destination of Kerman. Besides the 18 crew members, the victims included Iran's Revolutionary Guard.",https://www.planecrashinfo.com/2003/2003-10.htm
20-Feb-03,852,"Near Kohat, Pakistan",Military - Pakistan Air Force,Islamabad - Kohat,Fokker F-27 Friendship 200,17   (passengers:9  crew:8),17   (passengers:9  crew:8),"The plane crashed into a mountainside in a remote region near the town of Kohat, about 250 kilometers northwest of Islamabad. Among those killed was Air Force chief Mushaf Ali Mir.  Pilot error. Pilot's premature descent below minima which resulted in the aircraft hitting a cloud covered ridge at 3,000 feet above sea level.",https://www.planecrashinfo.com/2003/2003-11.htm
1-Mar-03,1425,"Near Barki, Russia",Private - Kabanov - skydiving,Skydiving,Let L-410UVP,25   (passengers:23  crew:2),11   (passengers:9  crew:2),"While carrying a group of parachute jumpers, the aircraft began to disintegrate in mid-air while flying at an altitude of about 10,000 ft. The tail and left wing separated from the plane before it crashed into an area of deep snow. Many of the skydivers were able to jump out of the plane to safely before it crashed. Crew error.",https://www.planecrashinfo.com/2003/2003-12.htm
6-Mar-03,1545,"Tamanrasset, Algeria",Air Algerie,Tamanrasset - Algiers,Boeing B-737-2T4,103   (passengers:97  crew:6),102   (passengers:96  crew:6),"The starboard engine caught fire and failed while the plane was attempting to take off. The aircraft continued about 2,000 ft. past the end of the runway and crashed. The accident was caused by the loss of an engine during a critical phase of flight, the non-retraction of the landing gear after the engine failure, and the Captain, the pilot not flying, taking over control of the airplane before having clearly identified the problem.",https://www.planecrashinfo.com/2003/2003-13.htm
27-Mar-03,1230,"Mulia, Indonesia",PT Air Regional,Mulia - Wamena,de Havilland Canada DHC-6 Twin Otter,16   (passengers:14  crew:2),4   (passengers:2  crew:2),"Crashed into a 7,000 ft. mountain three minutes after after taking off.",https://www.planecrashinfo.com/2003/2003-14.htm
28-Mar-03,1549,"New Vienna, Iowa",Morris Hancock Flying Club - Charter,"Aurora, IL - Morris, MN",Beech A36,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The aircraft, owned by a flying club as a rental airplane, was destroyed following an uncontrolled descent into terrain about 2 miles west of New Vienna, Iowa. The improper planning/decision by the pilot to fly into forecast icing  conditions with an airplane not equipped with a certified deicing system. Also casual to the accident was the continued flight in known icing conditions and the pilot not performing flight to an alternate destination. A contributing factor was the pilot's lack of qualification as an air carrier.",https://www.planecrashinfo.com/2003/2003-15.htm
8-May-03,?,"Near Kinshasa, Congo",Ukrainian Cargo Airlines -  Congolese Army Charter,Kinshasa - Lubumbashi,Illyushin 76,200   (passengers:?  crew:?),129   (passengers:?  crew:?),"A large number of military personnel and their family members were sucked out of the plane after the aircraft's back ramp accidentally dropped open in flight. The ramp opened as the pressure system broke down. The crew managed to control the plane and turn it around and land at Kinshasa airport following the accident, which took place 45 minutes into the flight. There is a wide discrepancy in the number killed ranging from 0 to 250.",https://www.planecrashinfo.com/2003/2003-16.htm
26-May-03,445,"Near Macka, Turkey",Ukranian-Mediterranean Airlines,"Kabul, Afghanistan - Trabzon, Turkey - Zaragoza, Spain",Yakovlev 42D,75   (passengers:62  crew:13),75   (passengers:62  crew:13),The plane struck the side of a steep mountain in heavy fog on its third attempt to land at Trabzon to refuel. The pilot reported not being able to see the runway on the first two attempts.  The aircraft charter was carrying Spanish peacekeeping forces back to Zaragoza. Crew error.,https://www.planecrashinfo.com/2003/2003-17.htm
28-May-03,1330,"Talkeetna, Alaska",McKinley Air Service - Air Taxi,?,Cessna 185,4   (passengers:3  crew:1),4   (passengers:3  crew:1),"The airplane was destroyed during a collision with snow-covered glacial terrain following a loss of control during cruise flight, about 40 miles north-northwest of Talkeetna, Alaska. The airplane was being operated as a visual flight rules. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall, an uncontrolled descent and in-flight collision with terrain. A factor associated with the accident was rising terrain",https://www.planecrashinfo.com/2003/2003-18.htm
1-Jun-03,1526,"Milan, Italy",Eurojet Italila,Milan - Genoa - Farnborough,Gates Learjet 45,2   (passengers:0  crew:2),2   (passengers:0  crew:2),Shortly after taking off the jet nosed into the ground. Malfunction of the trim tab system.,https://www.planecrashinfo.com/2003/2003-19.htm
4-Jun-03,?,"Near Oiapoque,  Brazil",Air Taxi - Marco Zero Air Taxi,Oiapoque - Macapa,EMB 721C Sertanejo,5   (passengers:4  crew:1),5   (passengers:4  crew:1),Forty miles into it flight the aircraft crashed into the Amazon forest. The aircraft was not certified for IFR flight. Heavy cloud cover existed along the flight route.,https://www.planecrashinfo.com/2003/2003-20.htm
6-Jun-03,1915,"Christchurch, New Zealand",Charter - Air Adventures New Zealand Ltd,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,10   (passengers:9  crew:1),8   (passengers:7  crew:1),"The aircraft crashed short of the runway in fog while on approach to Christchurch Airport. The plane crashed two kilometers from the airport, hitting a farm hedge and sliding across a paddock before smashing into a row of trees.",https://www.planecrashinfo.com/2003/2003-21.htm
11-Jun-03,?,"Belo Horizonte, Brazil",Astro Air Taxi,?,Embraer 820C Navajo,4   (passengers:2  crew:2),4   (passengers:2  crew:2),"After takeoff, the pilot reported low pressure of oil  in an engine and  decided to return to the airport. The plane made a 270 degree turn in the final approach, stalled  and crashed to the ground.",https://www.planecrashinfo.com/2003/2003-22.htm
15-Jun-03,935,"Volcano, Hawaii",Paradise Tour Helicopters,Sightseeing,McDonnell Douglas 369D,4   (passengers:3  crew:1),4   (passengers:3  crew:1),"The helicopter impacted a lava field on the Pulama Pali in the Volcanoes National Park, Volcano, Hawaii.  A loss of engine power due to the fatigue fracture and separation of the compressor coupling adapter. The fatigue fracture was initiated by fretting on the pilot diameter due to both the inadequate design of the coupling and the coaxial misalignment of the spur adapter gear, compressor-coupling adapter, and compressor impeller during recent engine maintenance where the gearbox was removed and replaced. A factor in the accident was the unsuitable nature of the terrain to make an emergency landing.",https://www.planecrashinfo.com/2003/2003-23.htm
22-Jun-03,2355,"Near Brest, France",Brit Air,Nantes - Brest,Canadair CRJ-100ER,24   (passengers:21  crew:3),1   (passengers:0  crew:1),"The aircraft crashed onto a road and caught fire 1 km from Brest-Guipavas Airport in France's Brittany region, killing the pilot and injuring three others. There were thunderstorms in the area with 800 meters visibility at the time the accident took place.",https://www.planecrashinfo.com/2003/2003-24.htm
25-Jun-03,1300,"Near Rudshour, Iran",Military - Islamic Republic of Iran Air Force,?,Lockheed C-130 Hercules,7   (passengers:0  crew:7),7   (passengers:0  crew:7),Nose dived into the ground shortly after takeoff near the Shur River.,https://www.planecrashinfo.com/2003/2003-25.htm
25-Jun-03,1550,"Anchor Point, Alaska",Hallo Bay Air - Air Taxi,"Hallo Bay, AK - Homer, AK",Cessna 180H,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The airlpane is presumed to have collided with the ocean waters of the Cook Inlet, about 7 miles southwest of Anchor Point, Alaska. No wreckage has been located, and the airplane is presumed to be destroyed. A fatally injured passenger was located on July 3, in ocean waters near Anchor Point. An in-flight collision with water for an undetermined reason.",https://www.planecrashinfo.com/2003/2003-26.htm
26-Jun-03,1930,"Near Rooisand Desert Ranch, Namibia",Comvac Aviation,?,Cessna 208B Grand Caravan,4   (passengers:3  crew:1),4   (passengers:3  crew:1),Shortly after taking off the air ambulance hit a hill side in the Gamsberg Mountains.,https://www.planecrashinfo.com/2003/2003-27.htm
30-Jun-03,1050,"Blida, Algeria",Military - Algerian Air Force,Training,Lockheed C-130H Hercules,4   (passengers:0  crew:4),4   (passengers:0  crew:4),"The military plane crashed into houses in the Beni Mered neighborhood, west of the Algerian capital, shortly after takeoff from the Boufarik military airport, 25 miles southwest of the capital. Witnesses reported seeing an engine on fire prior to the crash.",https://www.planecrashinfo.com/2003/2003-28.htm
1-Jul-03,1957,"Belem, Para, Brazil",Heringer Air Taxi,?,Mitsubishi MU 2B 35,4   (passengers:2  crew:2),4   (passengers:2  crew:2),The plane crashed on final approach to Belem Airport during a strong  thunderstorm.,https://www.planecrashinfo.com/2003/2003-29.htm
5-Jul-03,1130,"Macaé, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,?,Sikorsky  S 76 A,5   (passengers:3  crew:2),5   (passengers:3  crew:2),"The helicopter  was landing on the helideck of the ship Toisa Mariner, when the tail rotor collided with the flagpole on the ship. The pilot lost the control and the helicopter crashed into the  sea.",https://www.planecrashinfo.com/2003/2003-30.htm
8-Jul-03,400,"Port Sudan, Sudan",Sudan Airways,Port Sudan - Khartoum,Boeing 737-2J8C,117   (passengers:106  crew:11),117   (passengers:106  crew:11),"The plane's crew reported technical difficulties (engine failure) 10 minutes after taking off from Port Sudan Airport. The plane crashed into a hillside, 3 miles from the airport as the crew tried to return and make emergency landing. A three-year-old boy was the only survivor.",https://www.planecrashinfo.com/2003/2003-31.htm
13-Jul-03,1530,"Off Treasure Cay, Bahamas",Air Sunshine,"Ft. Lauderdale, FL - Treasure Cay",Cessna 402C,10   (passengers:9  crew:1),2   (passengers:2  crew:0),"Twenty miles west of its destination, at an altitude of 3,500 ft., the right engine began coming apart and throwing parts out of the cowling. Although the right engine was feathered, flaps and gear retracted and full power applied t the left engine, the plane could not maintain altitude and the pilot ditched the aircraft 15 miles from its destination. All passengers and the pilot were able to exit from the plane before it sank but 2 passengers subsequently died. The in-flight failure of the right engine and the pilot's failure to adequately manage the airplane's performance after the engine failed. The right engine failure resulted for inadequate maintenance that was performed by Air Sunshine's maintenance personnel during undocumented maintenance. Contributing to the passenger fatalities was the pilot's failure to provide an emergency briefing after the right engine failed.",https://www.planecrashinfo.com/2003/2003-32.htm
13-Jul-03,1215,"Near San Cristobal, Venezuela",Ruiban & Duran Compania Aérea,La Carlota - San Cristobal,Let 410UVP-E,10   (passengers:8  crew:2),4   (passengers:4  crew:0),Crashed atop a hill in Chorro del Indio National Park during a descent to San Cristobal.,https://www.planecrashinfo.com/2003/2003-33.htm
19-Jul-03,1800,"Mount Kenya, Kenya",Ryan Blake Air Charter,Nairobi - Samburu National Park,Swearingen SA-226T Metro II,14   (passengers:12  crew:2),14   (passengers:12  crew:2),"The plane crashed into the eastern slopes of Mount Kenya at an altitude of 16,355 feet as it attempted to fly around Lenana Peak and land in Samburu National Park. Ten American tourists and 2 pilots were killed when the plane hit the mountain 450 feet below the snow covered peak and disintegrated upon impact. Poor visibility may have been a factor.",https://www.planecrashinfo.com/2003/2003-34.htm
23-Jul-03,853,"Waialeale,Kauai, Hawaii",Jack Harter Helicopters,Sightseeing,Bell 206B,5   (passengers:4  crew:1),5   (passengers:4  crew:1),"The helilcopter collided with terrain while maneuvering in the Waialeale Crater, Kauai, Hawaii. The helicopter impacted steep upsloping terrain on the northwestern inside crater wall and was destroyed. The pilot's failure to maintain adequate terrain clearance/altitude while descending over mountainous terrain, and his continued flight into adverse weather. Factors contributing to the accident were clouds and a low ceiling.",https://www.planecrashinfo.com/2003/2003-35.htm
4-Aug-03,639,"Groton, Connecticut",Jet Pro,Farmingdale - Groton,Gates Learjet 35A,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"During a positioning flight the jet crashed into several houses before ending up in a river. The first officer's inadvertent retraction of the flaps during the low altitude maneuvering, which resulted in the inadvertent stall and subsequent in-flight collision with a residential home. Factors in the accident were the captain's decision to perform a low altitude maneuver using excessive bank angle, the flight crews inadequate coordination, and low clouds surrounding the airport.",https://www.planecrashinfo.com/2003/2003-36.htm
8-Aug-03,932,"Tocomita, Venezuela",Servicios Aeronauticos Sucre (SASCA),Porlamar - Canaima,Cessna 208B Grand Caravan,16   (passengers:14  crew:2),1   (passengers:0  crew:1),The pilot decided to divert to Tocomita after experiencing engine problems but crashed into trees 100 meters short of the runway.,https://www.planecrashinfo.com/2003/2003-37.htm
17-Aug-03,1249,"Near Barrow, Alaska",Hageland Aviation Services Inc.,Barrow - Wainwright,Reims Aviation 406,2   (passengers:1  crew:1),2   (passengers:1  crew:1),"The cargo plane crashed into the ocean 30.5 miles southwest of Barrow, Alaska. While some wreckage was recovered the pilot and passenger were never recovered.",https://www.planecrashinfo.com/2003/2003-38.htm
20-Aug-03,1305,"Kamchatka Peninsula, Russia",Khalatyrka,Kamchatka - Kuril Islands,Mi-8 helicopter,20   (passengers:19  crew:1),20   (passengers:19  crew:1),"The helicopter was flying at a 13-meter height when the pilot pulled up its nose in an attempt to avoid a close obstacle. The maneuver caused the helicopter's rotor blades to swing back, slicing its tail, causing the crash. Sakhalin Governor, Igor Farkhutdinov, was among the casualties.",https://www.planecrashinfo.com/2003/2003-39.htm
24-Aug-03,1400,"Cap Haitien, Haiti",Tropical Airways,Cap Haitien - Port au Paix,Let 420UVP-E,21   (passengers:19  crew:2),21   (passengers:19  crew:2),The plane crashed shortly after taking off from Cap Haitien Airport. Witnesses reported seeing smoke coming out of the back of the aircraft. The plane then nose dived into a sugarcane field and exploded.,https://www.planecrashinfo.com/2003/2003-40.htm
26-Aug-03,1538,"Off Hyannis, Massachusetts",US Airways Express,?,Beechcraft 1900D,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"Shortly after taking off the pilot declared an emergency but the aircraft crashed into Nantucket Sound before he could land. The improper replacement of the forward elevator trim cable, and subsequent inadequate functional check of the maintenance performed, which resulted in a reversal of the elevator trim system and a loss of control in-flight. Factors were the flightcrew's failure to follow the checklist procedures, and the aircraft manufacturer's erroneous depiction of the elevator trim drum in the maintenance manual.",https://www.planecrashinfo.com/2003/2003-41.htm
11-Sep-03,2030,"Near Summer Beaver, Canada",Wasaya Airways,Pickle Lake - Summer Beaver,Cessna 208B Grand Caravan,8   (passengers:7  crew:1),8   (passengers:7  crew:1),The aircraft crashed ten kilometers northwest of Summer Beaver one hour after leaving Pickle Lake Airport. Thunderstorm activity was reported along the route.,https://www.planecrashinfo.com/2003/2003-42.htm
19-Sep-03,1710,"Del Rio, Texas",Ameristar Jet Charter,El Paso - Del Rio,Learjet 25B,2   (passengers:0  crew:2),1   (passengers:0  crew:1),"After touching down the aircraft did not brake correctly and overran the runway, crashed into a cemetery and burst into flames. The pilot's misjudged distance and speed during the approach to landing, and his failure to obtain the proper touchdown point resulting in an overrun. A contributing factor was the pilot's failure to abort the landing.",https://www.planecrashinfo.com/2003/2003-43.htm
19-Sep-03,2000,"Near La Quemada, Mexico",Military - Mexican Air Force,Mexicali - Santa Lucia,Lockheed C-130A Hercules,6   (passengers:0  crew:6),6   (passengers:0  crew:6),Crashed while en route,https://www.planecrashinfo.com/2003/2003-44.htm
20-Sep-03,1955,"Near Meadview, Arizona",Sundance Helicopters,Sightseeing,Aerospatiale AS350BA,7   (passengers:6  crew:1),7   (passengers:6  crew:1),"The sightseeing helicopter, headed for the bottom of the Grand Canyon, hit the face of a cliff and crashed in rugged terrain killing all aboard. Tourists were supposed to board a pontoon boat when the accident occurred 2/3 of the way down the canyon. The pilot's disregard of safe flying procedures and misjudgment of the helicopter's proximity to terrain. Contributing to the accident was the failure of Sundance Helicopters and the FAA to provide adequate surveillance of Sundance's air tour operations in Descent Canyon.",https://www.planecrashinfo.com/2003/2003-45.htm
27-Sep-03,1857,"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"Cashed as it approached Gaspé in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain).",https://www.planecrashinfo.com/2003/2003-46.htm
3-Oct-03,2125,"Off Waikanae, New Zealand",Air Freight New Zealand,Christchurch - Palmerston North,Convair CV-580F,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons.",https://www.planecrashinfo.com/2003/2003-47.htm
3-Oct-03,?,Sao Gabriel de Cachoeria,Air taxi - Rumo Notre Air Taxi,Sao Gabriel de Cachoeria - Yauarete,EMB 721C Sertanejo,4   (passengers:3  crew:1),4   (passengers:3  crew:1),"The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabriels runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar.",https://www.planecrashinfo.com/2003/2003-48.htm
11-Oct-03,1600,"Uriman, Venezuela",Transmandu,?,Antonov AN-2TP,2   (passengers:0  crew:2),1   (passengers:0  crew:1),Crashed into the Caroni River shortly after taking off.,https://www.planecrashinfo.com/2003/2003-49.htm
26-Oct-03,431,"Buenos Aires, Argentina",CATA Linea Aerea,?,Fairchild Hiller FH-227B,5   (passengers:0  crew:5),5   (passengers:0  crew:5),Three minutes after taking off from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.,https://www.planecrashinfo.com/2003/2003-50.htm
27-Oct-03,808,"Tampico, Mexico",Aeroextra,Tampico - Las Potrancas Ranch Airstrip,Hawker 800A,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"While on approach on a positioning flight,  in poor weather, the crew decided to go-around turned left and struck a 1,600 ft. hill.",https://www.planecrashinfo.com/2003/2003-51.htm
29-Oct-03,851,"Cody, Wyoming",FedEx,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,1   (passengers:0  crew:1),1   (passengers:0  crew:1),"While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions.",https://www.planecrashinfo.com/2003/2003-52.htm
2-Nov-03,900,"Near Hasi, Iraq",Military - U.S. Army,Fallujah - Baghdad,CH-47 Chinook,36   (passengers:34  crew:2),15   (passengers:15  crew:0),The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.,https://www.planecrashinfo.com/2003/2003-53.htm
